PROV,2014_Factor,Pneumonia_Cases_2014,Pneumonia_Ratio_2014,HF_Cases_2014,HF_Ratio_2014,AMI_Cases_2014,AMI_Ratio_2014
10103,0.9998,322,0.947578,468,0.880918,358,1.010751
10104,1.0000,264,0.919920,436,0.860840,355,0.970261
10108,0.9907,223,1.119121,127,1.111898,14,0.000000
10109,0.9987,139,0.954313,69,1.045080,9,0.000000
10110,0.9984,24,0.000000,39,1.055094,1,0.000000
10112,0.9970,130,1.003685,161,1.084759,11,0.000000
10113,0.9968,681,1.091259,1018,1.055964,246,1.122886
10114,0.9982,206,1.065720,223,0.976007,92,1.043253
10118,0.9866,238,1.105544,371,1.155244,101,1.116795
10120,0.9954,174,0.923064,164,1.085846,22,0.000000
10125,1.0000,353,0.948381,133,0.863909,9,0.000000
10126,0.9895,134,1.173510,141,1.065534,7,0.000000
10128,0.9980,66,0.908726,53,1.063506,2,0.000000
10129,1.0000,90,0.987072,49,0.992026,5,0.000000
10130,0.9929,162,1.086752,108,0.979657,7,0.000000
10131,0.9999,313,1.011028,328,0.942061,162,0.971334
10137,1.0000,7,0.000000,14,0.000000,1,0.000000
10138,1.0000,2,0.000000,2,0.000000,0,0.000000
10139,0.9998,520,0.929741,496,1.014229,248,0.951180
10144,0.9958,191,1.025543,526,0.976267,138,1.187537
10146,0.9970,130,1.074057,62,0.985341,13,0.000000
10148,0.9965,72,1.064594,183,1.056395,10,0.000000
10149,0.9974,252,0.892071,362,1.090812,56,1.019230
10150,1.0000,88,0.922500,134,0.996553,11,0.000000
10152,0.9984,61,1.030364,70,1.070877,5,0.000000
10157,1.0000,143,0.970684,81,0.989490,4,0.000000
10158,0.9920,227,1.192373,155,1.075080,21,0.000000
10164,0.9961,240,1.109400,206,0.915162,26,0.982863
10168,1.0000,71,0.974914,45,0.968963,7,0.000000
10169,0.9942,101,1.151439,171,1.014960,11,0.000000
20001,1.0000,302,0.860852,463,0.859148,303,0.901587
20006,0.9987,221,0.981263,133,1.009507,65,1.049376
20008,1.0000,78,0.949583,50,0.938741,17,0.000000
20012,1.0000,122,0.962127,113,0.920829,53,0.888521
20017,1.0000,74,0.954709,82,0.952737,86,0.893613
20018,0.9990,172,0.885709,37,1.033352,2,0.000000
20024,0.9989,104,0.952478,67,1.045501,13,0.000000
